Class,True Positives,False Positives,True Negatives,False Negatives
b'Polygala vulgaris',0,7,3530,5
b'Portulaca oleracea',0,9,3529,4
b'Potentilla erecta',0,6,3531,5
b'Potentilla indica',0,2,3536,4
b'Potentilla reptans',0,9,3528,5
b'Potentilla sterilis',0,7,3526,9
b'Potentilla tabernaemontani',0,7,3526,9
b'Poterium sanguisorba',0,11,3519,12
b'Primula veris',0,9,3526,7
b'Primula vulgaris',0,9,3525,8
b'Prospero autumnale',0,4,3534,4
b'Prunella grandiflora',0,4,3531,7
b'Prunella hastifolia',0,2,3535,5
b'Prunella laciniata',0,3,3534,5
b'Prunella vulgaris',0,4,3533,5
b'Prunus armeniaca',0,9,3527,6
b'Prunus avium',0,5,3533,4
b'Prunus cerasifera',0,2,3536,4
b'Prunus dulcis',0,8,3526,8
b'Prunus laurocerasus',0,9,3526,7
b'Prunus mahaleb',0,7,3531,4
b'Prunus padus',0,5,3533,4
b'Prunus serrulata',0,4,3534,4
b'Prunus spinosa',0,2,3534,6
b'Pseudoturritis turrita',0,9,3530,3
b'Pterocarya fraxinifolia',0,3,3532,7
b'Pulicaria dysenterica',0,4,3532,6
b'Punica granatum',0,10,3528,4
b'Pyracantha coccinea',0,10,3528,4
b'Pyrus communis',0,10,3523,9
b'Quercus petraea',0,6,3529,7
b'Quercus pubescens',0,5,3534,3
b'Ranunculus aconitifolius',0,6,3531,5
b'Ranunculus acris',0,6,3534,2
b'Ranunculus bulbosus',0,7,3529,6
b'Ranunculus flammula',0,7,3532,3
b'Ranunculus gramineus',0,10,3526,6
b'Ranunculus paludosus',0,4,3529,9
b'Ranunculus peltatus',0,4,3533,5
b'Ranunculus platanifolius',0,7,3530,5
b'Ranunculus repens',0,10,3529,3
b'Ranunculus trichophyllus',0,6,3530,6
b'Raphanus raphanistrum',0,8,3531,3
b'Reseda phyteuma',0,7,3528,7
b'Reynoutria japonica',0,1,3534,7
b'Rhamnus alaternus',0,2,3533,7
b'Rhamnus alpina',0,5,3533,4
b'Rhinanthus minor',0,9,3525,8
b'Rhododendron ferrugineum',0,5,3531,6
b'Rhus coriaria',0,13,3523,6
b'Ribes rubrum',0,5,3529,8
b'Robinia pseudoacacia',0,7,3530,5
b'Rosa agrestis',0,6,3533,3
b'Rosa canina',0,10,3528,4
b'Rosa pendulina',0,5,3524,13
b'Rosa spinosissima',0,4,3527,11
b'Rosmarinus officinalis',0,6,3531,5
b'Rubus fruticosus',0,6,3531,5
b'Rubus idaeus',0,6,3526,10
b'Rumex crispus',0,5,3534,3
b'Ruscus aculeatus',0,10,3527,5
b'Salvia officinalis',0,5,3530,7
b'Salvia pratensis',0,8,3530,4
b'Salvia verbenaca',0,9,3527,6
b'Sambucus ebulus',0,6,3529,7
b'Sambucus nigra',0,3,3534,5
b'Sambucus racemosa',0,8,3530,4
b'Saponaria ocymoides',0,2,3535,5
b'Saponaria officinalis',0,6,3529,7
b'Saxifraga aizoides',0,3,3531,8
b'Saxifraga granulata',0,4,3532,6
b'Saxifraga moschata',0,9,3528,5
b'Saxifraga paniculata',0,5,3528,9
b'Saxifraga tridactylites',0,8,3526,8
b'Scabiosa atropurpurea',0,5,3533,4
b'Scabiosa columbaria',0,4,3531,7
b'Scutellaria galericulata',0,6,3529,7
b'Sedum album',0,4,3530,8
b'Sedum dasyphyllum',0,6,3531,5
b'Sedum sediforme',0,9,3530,3
b'Sempervivum arachnoideum',0,2,3535,5
b'Sempervivum montanum',0,11,3526,5
b'Sempervivum tectorum',0,9,3527,6
b'Senecio doronicum',1,9,3526,6
b'Senecio inaequidens',0,4,3534,4
b'Serapias vomeracea',0,1,3536,5
b'Sherardia arvensis',0,6,3531,5
b'Silene acaulis',0,5,3533,4
b'Silene conica',0,5,3530,7
b'Silene dioica',0,3,3534,5
b'Silene gallica',0,5,3532,5
b'Silene latifolia',0,6,3534,2
b'Silene nutans',0,4,3532,6
b'Silene uniflora',0,6,3533,3
b'Silene vulgaris',0,3,3532,7
b'Sisymbrium officinale',0,9,3527,6
b'Smilax aspera',0,11,3525,6
b'Solanum dulcamara',0,5,3531,6
b'Solanum nigrum',0,9,3529,4
b'Sophora japonica',0,10,3528,4
b'Sorbus aria',0,7,3527,8
b'Sorbus aucuparia',0,4,3530,8
b'Sorbus torminalis',0,4,3533,5
b'Spergula arvensis',0,5,3534,3
b'Spergula media',0,9,3528,5
b'Stachys recta',0,4,3534,4
b'Stachys sylvatica',0,9,3528,5
b'Stellaria holostea',0,3,3532,7
b'Stellaria media',0,6,3524,12
b'Succisa pratensis',0,8,3530,4
b'Symphytum officinale',0,6,3524,12
b'Syringa vulgaris',0,7,3530,5
b'Tanacetum vulgare',0,8,3527,7
b'Taxus baccata',0,2,3533,7
b'Teucrium chamaedrys',0,8,3528,6
b'Teucrium fruticans',0,6,3531,5
b'Teucrium scorodonia',0,9,3526,7
b'Thymus serpyllum',0,2,3530,10
b'Thymus vulgaris',0,12,3522,8
b'Tordylium apulum',0,7,3528,7
b'Tordylium maximum',0,9,3529,4
b'Tozzia alpina',0,4,3536,2
b'Tractema lilio-hyacinthus',0,10,3525,7
b'Tractema verna',0,3,3530,9
b'Tragopogon porrifolius',0,6,3534,2
b'Tragopogon pratensis',0,5,3529,8
b'Tribulus terrestris',0,9,3526,7
b'Trifolium alpinum',0,4,3534,4
b'Trifolium campestre',0,6,3530,6
b'Trifolium incarnatum',0,6,3530,6
b'Trifolium pratense',0,8,3530,4
b'Trifolium repens',0,7,3527,8
b'Trifolium resupinatum',0,4,3528,10
b'Tripleurospermum inodorum',0,6,3530,6
b'Tripolium pannonicum',0,6,3531,5
